year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,16531.72667937127,19,4,279008943.0959772
2030,95000,11044.607218988303,19,3,187828398.86374092
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
