year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,10000.0,19,2,181172330.83405194
2030,95000,3099.185906507439,19,1,40696970.829792224
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
