year,scenario,production,co2_emission,co2_emission_cost,production_cost,production_cost_with_emission
2025,NT,282179558.63339,25125319.75303814,4020051160.486102,4895953930.956686,8916005091.442787
2030,NT,300756369.7770823,20730128.836870197,3316820613.8992314,4034736658.303449,7351557272.202681
2040,DE,375916100.07607377,26678638.19445428,4268582111.1126842,5193243349.740666,9461825460.85335
2040,GA,334114707.0809725,19983215.967837807,3197314554.854049,3890476440.265488,7087790995.119537
2040,NT,366977924.8824364,25179317.570251986,4028690811.240318,4906099580.679759,8934790391.920076
2050,DE,406014143.8741182,29246726.14375558,4679476183.000893,5635268932.149205,10314745115.150099
2050,GA,359848823.1513147,21515159.941532396,3442425590.645183,4191721194.9413857,7634146785.586569
