year,AIC,expected_OC,total_cost
2025,4292219563.869106,8916005091.442787,13208224655.311893
2030,3759493913.662126,7351557272.202681,11111051185.864807
2040,2941959071.4965553,8494802282.630988,11436761354.127544
2050,577462724.6022463,9056899450.333378,9634362174.935623
