year,AIC,expected_OC,total_cost
2025,10603221901.76495,2115859400.9848819,12719081302.749832
2030,3080883988.332226,1505353463.5853128,4586237451.917539
2040,928735129.3699627,2259702908.2508907,3188438037.6208534
2050,0.0,2889395352.6678815,2889395352.6678815
