year,scenario,ES1 0,PT1 0
2025,NT,34.36940459477362,35.00080426213054
2030,NT,29.723404035103563,30.255810339712834
2040,DE,35.00396250275141,35.54046255157948
2040,GA,30.65199946921479,31.15152032349034
2040,NT,34.48341647731537,35.02329648845815
2050,DE,57.24122255698461,58.13917008644866
2050,GA,33.80699708076703,34.34707596501816
