snapshot,ES1 0 CCGT,ES1 0 CCGT new,ES1 0 coal,ES1 0 coal new,ES1 0 offwind-ac,ES1 0 offwind-ac new,ES1 0 onwind,ES1 0 onwind new,ES1 0 ror,ES1 0 ror new,ES1 0 solar,ES1 0 solar new,PT1 0 CCGT,PT1 0 CCGT new,PT1 0 offwind-ac,PT1 0 offwind-ac new,PT1 0 onwind,PT1 0 onwind new,PT1 0 ror,PT1 0 ror new,PT1 0 solar,PT1 0 solar new
2013-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.875546900829974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 01:00:00,7171.548467896,0.0,4739.393482733913,0.0,1673.0716926571301,0.0,4920.986298512491,0.0,30.82418456561286,0.0,0.0,0.0,4145.0,829.0,1081.5336232410984,0.0,572.6280283446802,0.0,274.7619979779167,0.0,0.0,0.0
2013-01-01 02:00:00,5644.997656239286,0.0,4739.393482733913,0.0,1741.8978983998777,0.0,4651.677668472011,0.0,29.237686079610775,0.0,0.0,0.0,4145.0,829.0,1121.6349012749301,0.0,530.117812177009,0.0,264.17833273894166,0.0,0.0,0.0
2013-01-01 03:00:00,4784.167785407281,0.0,4739.393482733913,0.0,1840.346671572107,0.0,4298.965112479093,0.0,27.53652912684169,0.0,0.0,0.0,4145.0,829.0,1099.9626893426132,0.0,512.9455297638185,0.0,250.16044569647164,0.0,0.0,0.0
2013-01-01 04:00:00,4199.517851425259,0.0,4739.393482733913,0.0,2022.2797868084717,0.0,4198.93942937619,0.0,26.418188332501725,0.0,0.0,0.0,4145.0,829.0,1103.7040965785427,0.0,540.754936528624,0.0,237.20199341024045,0.0,0.0,0.0
2013-01-01 05:00:00,314.03415140146626,4032.95899280944,4739.393482733913,0.0,2164.406651125978,0.0,3842.037820868217,0.0,25.601679006288503,0.0,0.0,0.0,4145.0,829.0,1075.7208912503147,0.0,549.9653741975037,0.0,228.56546764883842,0.0,0.0,0.0
2013-01-01 06:00:00,425.5137172743807,4032.95899280944,4739.393482733913,0.0,2321.9876678140613,0.0,3736.234950694466,0.0,24.909464239736195,0.0,0.0,0.0,4145.0,829.0,1074.8424570361015,0.0,552.3085560482104,0.0,221.00638909459346,0.0,0.0,0.0
2013-01-01 07:00:00,256.0805183592229,4032.95899280944,4739.393482733913,0.0,2331.805297240158,0.0,3602.5916752355356,0.0,24.28425565731332,0.0,0.0,0.0,4145.0,829.0,957.2251168996877,0.0,469.29985371136985,0.0,213.27030867745862,0.0,0.0,0.0
2013-01-01 08:00:00,4199.579187481427,0.0,4739.393482733913,0.0,2140.641094879044,0.0,3538.623604406482,0.0,23.740529538484502,0.0,676.5539070801044,135.3107814160209,4145.0,829.0,838.92216398568,0.0,404.60670193867793,0.0,207.15448399102826,0.0,1.9204929519751386,0.38409859039502775
2013-01-01 09:00:00,0.0,3912.500430767551,4739.393482733913,0.0,1804.6636161135602,0.0,3514.5589714413027,0.0,23.206343115120358,0.0,2648.500884608964,529.7001769217928,4145.0,829.0,780.878017660147,0.0,391.50290493652636,0.0,202.52873204658437,0.0,216.96018145053196,43.39203629010639
