generator,value
AL1 0 offwind-ac new,0.0
AL1 0 oil new,0.0
AL1 0 onwind new,0.0
AL1 0 ror new,0.0
AL1 0 solar new,50.55
AT1 0 CCGT new,0.0
AT1 0 OCGT new,0.0
AT1 0 coal new,0.0
AT1 0 onwind new,0.0
AT1 0 ror new,0.0
AT1 0 solar new,0.0
BA1 0 onwind new,0.0
BA1 0 solar new,104.67
BE1 0 CCGT new,0.0
BE1 0 OCGT new,0.0
BE1 0 biomass new,0.0
BE1 0 coal new,0.0
BE1 0 nuclear new,0.0
BE1 0 offwind-ac new,0.0
BE1 0 offwind-dc new,0.0
BE1 0 oil new,0.0
BE1 0 onwind new,0.0
BE1 0 ror new,0.0
BE1 0 solar new,0.0
BG1 0 CCGT new,0.0
BG1 0 coal new,0.0
BG1 0 lignite new,0.0
BG1 0 nuclear new,0.0
BG1 0 offwind-ac new,0.0
BG1 0 offwind-dc new,0.0
BG1 0 onwind new,0.0
BG1 0 ror new,0.0
BG1 0 solar new,3218.85
CH1 0 CCGT new,0.0
CH1 0 biomass new,0.0
CH1 0 nuclear new,0.0
CH1 0 onwind new,0.0
CH1 0 ror new,0.0
CH1 0 solar new,375.8720244007211
CZ1 0 CCGT new,0.0
CZ1 0 OCGT new,0.0
CZ1 0 biomass new,0.0
CZ1 0 coal new,0.0
CZ1 0 lignite new,0.0
CZ1 0 nuclear new,0.0
CZ1 0 onwind new,0.0
CZ1 0 ror new,0.0
CZ1 0 solar new,0.0
DE1 0 CCGT new,0.0
DE1 0 OCGT new,0.0
DE1 0 biomass new,0.0
DE1 0 coal new,0.0
DE1 0 lignite new,0.0
DE1 0 nuclear new,0.0
DE1 0 offwind-ac new,0.0
DE1 0 offwind-dc new,0.0
DE1 0 oil new,0.0
DE1 0 onwind new,0.0
DE1 0 ror new,0.0
DE1 0 solar new,0.0
DK1 0 CCGT new,0.0
DK1 0 OCGT new,0.0
DK1 0 biomass new,0.0
DK1 0 coal new,0.0
DK1 0 offwind-ac new,0.0
DK1 0 offwind-dc new,0.0
DK1 0 onwind new,0.0
DK1 0 solar new,0.0
DK2 0 CCGT new,639.0
DK2 0 OCGT new,1944.0
