battery,value
AL1 0 bat,-0.0
AT1 0 bat,-0.0
BA1 0 bat,-0.0
BE1 0 bat,-0.0
BG1 0 bat,-0.0
CH1 0 bat,-0.0
CZ1 0 bat,-0.0
DE1 0 bat,-0.0
DK1 0 bat,0.0
DK2 0 bat,0.0
EE6 0 bat,0.0
ES1 0 bat,-0.0
ES4 0 bat,0.0
FI2 0 bat,0.0
FR1 0 bat,-0.0
GB0 0 bat,0.0
GB5 0 bat,0.0
GR1 0 bat,-0.0
HR1 0 bat,-0.0
HU1 0 bat,-0.0
IE5 0 bat,0.0
IT1 0 bat,-0.0
IT3 0 bat,1.0
LT6 0 bat,0.0
LU1 0 bat,-0.0
LV6 0 bat,0.0
ME1 0 bat,-0.0
MK1 0 bat,-0.0
NL1 0 bat,-0.0
NO2 0 bat,1.0
PL1 0 bat,-0.0
PT1 0 bat,-0.0
RO1 0 bat,-0.0
RS1 0 bat,-0.0
SE2 0 bat,0.0
SI1 0 bat,-0.0
SK1 0 bat,-0.0
