year,scenario,ES1 0,ES1 1,ES1 2,ES1 3,ES1 4,ES1 5,ES1 6,ES1 7,ES1 8,PT1 0,PT1 1
2025,NT,49.20734412124197,48.47957904304027,49.06455228078759,48.670513063083455,49.0671738254303,49.201467247489084,49.66405886809552,49.66378883988107,49.53297561974903,49.4728337174614,50.00619280759813
2030,NT,44.00558392291078,43.62537028995987,44.12879357577402,43.83193366903973,44.19075801247423,44.31010303951672,44.66799145303637,44.726462927591555,44.550094818121195,44.71285036076143,45.13408301193749
2040,DE,45.91156641676061,45.638672622530684,46.163750854516984,45.82515030176281,46.20075563570221,46.32506398198644,46.727813328250434,46.760357450778386,46.60448000232426,46.70633062159692,47.07080054751092
2040,GA,42.51748393212442,42.15941203012375,42.65235604079755,42.32378881803721,42.67287054594426,42.785505602154736,43.17351372433916,43.18753961024205,43.059561611875914,43.130842736103006,43.46213653583914
2040,NT,45.25009664321834,44.94751437170991,45.469223180945676,45.12995048510241,45.499999425793234,45.6222801225777,46.02479940756143,46.05096988275756,45.90332161560603,45.99422631341663,46.351166002358255
2050,DE,66.09782556021591,66.16188687763506,66.86627526733345,66.47046974559488,67.01535770853947,67.19560642136996,67.68329632689804,67.82700994448457,67.50465312810329,67.81875973783514,68.38248159454841
2050,GA,43.36514566901854,43.109715917375205,43.61370329601762,43.272288609658894,43.63127754711701,43.74435272528322,44.14660742348674,44.15539654046826,44.030086928858665,44.12103092214151,44.46822565949536
