year,CCGT,coal,offwind-ac,onwind,ror,solar
2025,45250901.27719669,2213191.2651710818,36711333.47979774,102203320.31619862,37397835.33564296,51524229.18231645
2030,31205191.367278583,2149455.0776568293,38418687.85665919,107928327.79255761,38379540.82231045,77369473.68383989
2040,44892242.51458384,3401230.9709855206,44193896.49080057,137979923.25423792,38379540.82231044,83445527.69042538
2050,51178972.389612146,3953312.550278397,47007195.65940082,150280915.5635862,38379540.82231045,84319623.32270949
