carrier,Total Production [MW],New Production [MW],Old Production [MW],Total Production Cost [€],Cost of Buildout [€],Marginal Cost [€/MWh],CO2 Emission Intensity [ton/MWh],Total Production Cost [€] old,Total CO2 Emissions [ton],Total CO2 Cost [€],Total Production Cost With Emissions [€],Total Cost €
CCGT,137718032.9649608,16511894.613708708,121206138.3512521,5535411238.763342,481418558.4635453,39.82453889356681,0.2,5484557160.158598,27543606.592992164,2341206560.404334,7876617799.167676,8358036357.631222
coal,38524256.60255865,0.0,38524256.60255865,1086267296.0206316,0.0,28.196969696969692,0.34,1086267296.0206308,13098247.244869942,1113351015.813945,2199618311.8345766,2199618311.8345766
offwind-ac,31240027.21348928,0.0,31240027.21348928,468600.4082023371,0.0,0.014999999999999951,0.0,468600.4082023376,0.0,0.0,468600.4082023371,468600.4082023371
onwind,51745783.28352631,0.0,51745783.28352631,776186.7492528945,0.0,0.015,0.0,776186.7492528947,0.0,0.0,776186.7492528945,776186.7492528945
ror,7466082.992462479,0.0,7466082.992462479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar,23145582.228395354,3857597.038068668,19287985.190326687,231455.82228395145,90479241.09102376,0.00999999999999995,0.0,231455.82228395238,0.0,0.0,231455.82228395145,90710696.91330771
Total,289839765.2853929,20369491.651777375,269470273.6336155,6623154777.763713,571897799.5545691,68.0615085905365,0.54,6572300699.158968,40641853.837862104,3454557576.218279,10077712353.981993,10649610153.53656
