lower_bound,upper_bound,count,percent,count_2025,count_2030,count_2040,count_2050
0.0,1.0,11386,44.00896722325294,968,1782,5468,3168
18.0,19.0,3685,14.243197278911564,0,1,3684,0
27.0,28.0,2068,7.993197278911565,0,0,0,2068
55.0,56.0,1871,7.231756338899197,1141,730,0,0
19.0,20.0,1318,5.094310451453309,0,0,1318,0
28.0,29.0,949,3.668058132343847,0,0,0,949
54.0,55.0,885,3.420686456400742,490,395,0,0
56.0,57.0,818,3.161719233147805,549,269,0,0
29.0,30.0,562,2.1722325293753864,0,0,0,562
57.0,58.0,562,2.1722325293753864,328,234,0,0
58.0,59.0,310,1.1982065553494126,154,156,0,0
25.0,26.0,179,0.6918676561533704,0,0,0,179
16.0,17.0,170,0.6570810142238713,0,0,170,0
23.0,24.0,144,0.5565862708719851,0,0,144,0
26.0,27.0,102,0.39424860853432286,0,0,0,102
59.0,60.0,98,0.3787878787878788,47,51,0,0
17.0,18.0,94,0.36332714904143476,0,10,84,0
31.0,32.0,91,0.35173160173160173,0,0,0,91
70.0,inf,77,0.2976190476190476,0,0,33,44
34.0,35.0,64,0.24737167594310452,0,0,0,64
22.0,23.0,54,0.20871985157699444,0,0,54,0
21.0,22.0,49,0.1893939393939394,0,0,49,0
15.0,16.0,41,0.15847247990105134,0,0,41,0
20.0,21.0,39,0.1507421150278293,0,0,39,0
2.0,3.0,33,0.12755102040816327,0,0,0,33
24.0,25.0,33,0.12755102040816327,0,0,0,33
53.0,54.0,31,0.11982065553494126,8,23,0,0
50.0,51.0,29,0.11209029066171923,0,29,0,0
32.0,33.0,28,0.10822510822510822,0,0,0,28
35.0,36.0,23,0.08889919604205318,0,0,0,23
30.0,31.0,15,0.057977736549165125,0,0,0,15
9.0,10.0,15,0.057977736549165125,11,0,0,4
33.0,34.0,12,0.0463821892393321,0,0,0,12
51.0,52.0,12,0.0463821892393321,0,12,0,0
8.0,9.0,11,0.04251700680272109,0,0,0,11
1.0,2.0,6,0.02319109461966605,0,0,0,6
49.0,50.0,3,0.011595547309833025,0,3,0,0
14.0,15.0,3,0.011595547309833025,0,0,3,0
10.0,11.0,1,0.003865182436611008,0,0,1,0
52.0,53.0,1,0.003865182436611008,0,1,0,0
61.0,62.0,0,0.0,0,0,0,0
4.0,5.0,0,0.0,0,0,0,0
3.0,4.0,0,0.0,0,0,0,0
60.0,61.0,0,0.0,0,0,0,0
63.0,64.0,0,0.0,0,0,0,0
62.0,63.0,0,0.0,0,0,0,0
6.0,7.0,0,0.0,0,0,0,0
64.0,65.0,0,0.0,0,0,0,0
65.0,66.0,0,0.0,0,0,0,0
66.0,67.0,0,0.0,0,0,0,0
67.0,68.0,0,0.0,0,0,0,0
68.0,69.0,0,0.0,0,0,0,0
69.0,70.0,0,0.0,0,0,0,0
5.0,6.0,0,0.0,0,0,0,0
12.0,13.0,0,0.0,0,0,0,0
7.0,8.0,0,0.0,0,0,0,0
13.0,14.0,0,0.0,0,0,0,0
48.0,49.0,0,0.0,0,0,0,0
47.0,48.0,0,0.0,0,0,0,0
46.0,47.0,0,0.0,0,0,0,0
11.0,12.0,0,0.0,0,0,0,0
44.0,45.0,0,0.0,0,0,0,0
43.0,44.0,0,0.0,0,0,0,0
42.0,43.0,0,0.0,0,0,0,0
41.0,42.0,0,0.0,0,0,0,0
40.0,41.0,0,0.0,0,0,0,0
39.0,40.0,0,0.0,0,0,0,0
38.0,39.0,0,0.0,0,0,0,0
37.0,38.0,0,0.0,0,0,0,0
36.0,37.0,0,0.0,0,0,0,0
45.0,46.0,0,0.0,0,0,0,0
