year,CCGT,coal,offwind-ac,onwind,ror,solar,Total
2025,2796251547.5100822,2182549.8810035987,526919.7526819122,1556245.4708759822,0.0,515236.86703553883,2801032499.481679
2030,1917126750.8669605,5446667.007753057,527625.3293086798,1628918.0820580753,0.0,785700.5563670314,1925515661.8424475
2040,2727653569.8998604,64847077.115895614,595018.5531382046,2095244.6001002763,0.0,852663.191880387,2796043573.3608747
2050,3111304631.6544733,97761468.82355446,637891.0423374417,2271510.4955307026,0.0,865016.3451013999,3212840518.360997
