year,CCGT,coal,offwind-ac,onwind,ror,solar
2025,47416746.45413547,35090.935967414734,35127983.51212748,103749698.05839895,37397835.33564296,51523686.703553885
2030,32476640.00734196,87571.26005157168,35175021.95391199,108594538.80387188,40473901.82838178,78570055.63670313
2040,46091756.385612704,1042608.3044212206,39667903.54254697,139682973.34001872,40473901.82838178,85266319.18803869
2050,52562197.99586676,1571804.370853738,42526069.48916279,151434033.0353805,40473901.82838178,86501634.51014
