run,Generator Capacity [MW],Transmission Line Capacity [MW],Battery Energy Capacity [MWh],Total Production [MWh],Total CO₂ Emissions [tonnes],Load Shedding [MWh],Curtailment [MWh]
co2_100,127913.02402348489,7879.690704748274,43306.30093911818,1298163409.9197893,38489306.06352607,0.0,0.0
co2_120,130325.85424821277,8140.83429732783,41847.030606714085,1297923874.3088942,36640073.62483132,0.0,0.0
co2_140,132523.882667443,8234.12185620621,41247.041534159376,1297901220.228438,36128192.80844593,0.0,0.0
co2_160,134781.8978957234,8734.495239424094,42189.226830950545,1297535412.8191452,35379788.468462,0.0,0.0
co2_80,142766.72027434187,10520.021863169979,,1295916817.9138482,35079559.7693604,10624.84883034207,0.0
nb_co2_100,132060.4506016482,8234.12185620621,,1297879566.4826698,39511544.56682287,17661.567689619576,0.0
nb_co2_120,134377.0171302098,8659.405908769215,,1297445814.509706,38408976.10855298,17671.98456487295,0.0
nb_co2_140,136936.17971687877,9340.328006538977,,1296829400.273418,37623503.6696062,13959.923321217046,0.0
nb_co2_160,138708.18573737284,10107.78358026416,,1296314398.8420234,36450482.13096546,9941.942305608254,0.0
nb_co2_80,139630.58386119307,9193.238851855147,42273.83791266053,1297074770.8206096,33985823.792780496,0.0,0.0
