year,DE,GA,NT,mean
2025,,,10512485.063676463,10512485.063676463
2030,,,8537602.081946952,8537602.081946952
2040,11727667.827754809,8716314.945239408,11061527.994597353,10501836.922530523
2050,13035498.85914061,9622092.77552326,,11328795.817331934
