year,DE,GA,NT,mean
2025,,,7842132.2284780685,7842132.2284780685
2030,,,5577482.399887621,5577482.399887621
2040,9262799.109135758,6454740.229316358,8606141.540872864,8107893.626441659
2050,11042382.89332389,7485490.29870313,,9263936.59601351
