year,DE,GA,NT,mean
2025,,,5256242.531838231,5256242.531838231
2030,,,4268801.040973474,4268801.040973474
2040,5863833.913877402,4358157.472619703,5530763.997298675,5250918.461265259
2050,6517749.429570303,4811046.387761629,,5664397.908665965
