year,DE,GA,NT,mean
2025,,,1923217.6784967817,1923217.6784967817
2030,,,1367912.0064694628,1367912.0064694628
2040,2372294.85912903,1665855.534245609,2209301.025595099,2082483.806323246
2050,2973878.008263638,2083512.8358865296,,2528695.4220750835
