year,DE,GA,NT,mean
2025,,,5264449.425381202,5264449.425381202
2030,,,4244782.410038091,4244782.410038091
2040,5953639.722782489,4376983.817427032,5605293.751476883,5311972.430562135
2050,6605655.667884307,4832802.406042441,,5719229.036963373
