year,DE,GA,NT,mean
2025,,,15768727.595514694,15768727.595514694
2030,,,12806403.122920426,12806403.122920426
2040,17591501.741632212,13074472.417859113,16592291.991896026,15752755.383795781
2050,19553248.288710915,14433139.16328489,,16993193.7259979
