year,DE,GA,NT,mean
2025,,,9616088.39248391,9616088.39248391
2030,,,6839560.032347316,6839560.032347316
2040,11861474.295645151,8329277.671228047,11046505.1279755,10412419.031616233
2050,14869390.041318191,10417564.179432651,,12643477.110375421
