year,DE,GA,NT,mean
2025,,,21057797.701524816,21057797.701524816
2030,,,16979129.64015237,16979129.64015237
2040,23814558.891129963,17507935.26970813,22421175.00590754,21247889.722248543
2050,26422622.671537235,19331209.624169767,,22876916.1478535
