year,DE,GA,NT,mean
2025,,,21024970.127352927,21024970.127352927
2030,,,17075204.163893905,17075204.163893905
2040,23455335.655509617,17432629.890478816,22123055.989194706,21003673.845061045
2050,26070997.71828122,19244185.55104652,,22657591.63466387
