year,DE,GA,NT,mean
2025,,,7692870.713987129,7692870.713987129
2030,,,5471648.025877853,5471648.025877853
2040,9489179.436516121,6663422.136982438,8837204.1023804,8329935.225292987
2050,11895512.033054553,8334051.343546121,,10114781.688300338
