year,DE,GA,NT,mean
2025,,,26322247.12690602,26322247.12690602
2030,,,21223912.05019046,21223912.05019046
2040,29768198.613912452,21884919.087135162,28026468.757384423,26559862.152810678
2050,33028278.339421544,24164012.03021221,,28596145.184816875
