year,DE,GA,NT,mean
2025,,,5769653.035490346,5769653.035490346
2030,,,4103736.0194083895,4103736.0194083895
2040,7116884.577387091,4997566.602736828,6627903.076785299,6247451.41896974
2050,8921634.024790915,6250538.507659591,,7586086.266225252
