year,DE,GA,NT,mean
2025,,,5881599.171358551,5881599.171358551
2030,,,4183111.799915716,4183111.799915716
2040,6947099.331851818,4841055.171987268,6454606.155654648,6080920.219831244
2050,8281787.169992918,5614117.724027347,,6947952.4470101325
