year,DE,GA,NT,mean
2025,,,10528898.850762408,10528898.850762408
2030,,,8489564.820076184,8489564.820076184
2040,11907279.445564982,8753967.634854065,11210587.50295377,10623944.861124272
2050,13211311.335768618,9665604.812084883,,11438458.07392675
