year,DE,GA,NT,mean
2025,,,15793348.27614361,15793348.27614361
2030,,,12734347.230114276,12734347.230114276
2040,17860919.16834747,13130951.452281097,16815881.25443065,15935917.291686406
2050,19816967.003652927,14498407.218127325,,17157687.110890124
