year,DE,GA,NT,mean
2025,,,26281212.659191158,26281212.659191158
2030,,,21344005.204867378,21344005.204867378
2040,29319169.56938702,21790787.36309852,27653819.98649338,26254592.306326304
2050,32588747.147851523,24055231.93880815,,28321989.543329835
