year,num_buildout,capacity,cumulative_capacity,investment_cost,cycles_per_year
2025,3,36658.21991412988,36658.21991412988,804975099.5357705,71.3595067972696
2030,0,0.0,36658.21991412988,0.0,98.74260472049622
2040,0,0.0,36658.21991412988,0.0,126.00417119215679
2050,0,0.0,36658.21991412988,0.0,149.05755175751477
