year,scenario,CCGT,coal,offwind-ac,onwind,ror,solar,Total
2025,NT,46455876.98854086,941057.5815270055,36579252.64889019,102234251.75355425,37397835.33564296,51520828.96679834,275129103.2749536
2030,NT,32783532.94709786,831921.8909639948,39069998.0604462,107834320.74356243,37397835.33564296,77383774.29488291,295301383.27259636
2040,DE,18407139.346973684,801167.3406478546,15263624.30289156,48901982.79353139,12465945.111880988,27020726.280445598,122860585.17637107
2040,GA,13055096.041787302,486490.24132911384,13718106.793968802,43046476.12384414,12465945.111880988,26547868.57848843,109319982.89129877
2040,NT,17150210.38545187,741547.9379455597,15217160.995029414,47430244.22929977,12465945.111880988,26963445.51906474,119968554.17867233
2050,DE,34399507.21536085,1631745.816432048,24859223.10531909,78560496.36774705,18698917.66782148,40704797.95475198,198854688.12743247
2050,GA,24279654.376994878,1037797.6891689935,22156069.64395035,69925959.09464829,18698917.66782148,40345825.48103076,176444223.95361477
