year,CCGT,coal,offwind-ac,onwind,ror,solar
2025,46455876.98854086,941057.5815270055,36579252.64889019,102234251.75355425,37397835.33564296,51520828.96679834
2030,32783532.94709786,831921.8909639948,39069998.0604462,107834320.74356243,37397835.33564296,77383774.29488291
2040,48612445.77421285,2029205.5199225282,44198892.09188978,139378703.1466753,37397835.335642956,80532040.37799877
2050,58679161.59235573,2669543.505601042,47015292.74926944,148486455.46239534,37397835.33564296,81050623.43578275
