year,CCGT,coal,offwind-ac,onwind,ror,solar
2025,46128807.68186401,1332259.0652254806,35822649.12982196,103079693.99574164,37397835.33564296,51524038.56528252
2030,31572180.220976654,1424319.7053367337,36512916.78948408,108638126.68131995,39386359.81502452,77881482.36184292
2040,45048831.11635971,2713651.0835183673,41979468.00325463,138862655.87916034,39386359.81502452,84265330.01908937
2050,51391022.485007375,3281600.1563264574,44686824.40590226,151059540.09549978,39386359.81502452,85284721.89594254
