,lower_bound,upper_bound,count,percent_of_interval
0,-0.001,0.1,1783,99.88795518207283
1,0.1,0.2,2,0.11204481792717086
2,0.2,0.3,0,0.0
3,0.3,0.4,0,0.0
4,0.4,0.5,0,0.0
5,0.5,0.6,0,0.0
6,0.6,0.7,0,0.0
7,0.7,0.8,0,0.0
8,0.8,0.9,0,0.0
9,0.9,1.0,0,0.0
