year,AIC,expected_OC,total_cost
2025,7566757892.063575,2992374341.367998,10559132233.431572
2030,3347158652.0958295,2036891758.5967488,5384050410.692578
2040,1053716323.5068471,2916799101.569533,3970515425.07638
2050,530508939.1194818,3368604164.7225246,3899113103.8420067
