year,scenario,production,co2_emission,co2_emission_cost,production_cost,production_cost_with_emission
2025,NT,275235406.6626797,9500248.847935388,1140029861.7522464,1852344479.6157517,2992374341.3679986
2030,NT,295363785.8425349,6466056.579443195,775926789.5331833,1260964969.0635655,2036891758.5967488
2040,DE,368685380.6727232,10715824.510145627,1285898941.2174752,2055658885.8879094,3341557827.105385
2040,GA,327997013.4258995,7364769.223540807,883772306.8248968,1423123264.8001661,2306895571.625063
2040,NT,359993127.09175485,9949567.91383696,1193948149.6604352,1907995756.317716,3101943905.9781513
2050,DE,397540018.0638377,12971620.717663033,1556594486.119564,2472506986.2358093,4029101472.3553734
2050,GA,352613689.9223574,8665379.612789404,1039845553.5347285,1668261303.5549479,2708106857.0896764
