year,AIC,expected_OC,total_cost
2025,2964533180.2102346,8122186856.361849,11086720036.572083
2030,2122281868.3062909,7803576757.122015,9925858625.428307
2040,1778500739.6316702,9610521786.889494,11389022526.521164
2050,392456233.16802365,10464090804.451038,10856547037.619062
