year,num_buildout,capacity,investment_cost,cycles_per_year
2025,1,21.123841715362023,463856.8546763277,203.82261799182123
2030,1,59.39671744382463,840431.2053669626,169.10487894009628
2040,1,167.01365644753307,2363152.2858766555,147.4942638265618
2050,1,8320.383624525108,179039239.13870695,149.9862141316826
