scenario,year,dual_value
NT,2025,-31142.934876336767
NT,2030,-31154.89350067235
NT,2040,-10270.504481321523
GA,2040,-10282.606840092256
DE,2040,-10265.556083552327
GA,2050,-2.0504840077608235
DE,2050,-246.05196676932923
