year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_co2_emission_cost,total_production_cost,total_production_cost_with_emission,total_cost
2025,192912.81713965908,77417.9554117447,51,23,7564781679.358101,275161732.2843686,9366344.820944263,1311288274.9321966,1826126207.7133982,3137414482.645595,10702196162.003696
2030,192912.81713965908,44059.853150037685,51,15,3336237825.5951815,295262364.0925328,6381620.8540819455,893426919.5714724,1244052843.4280257,2137479762.9994981,5473717588.59468
2040,192912.81713965908,13304.089333941018,51,3,937324155.8432684,352130426.9811214,9121392.785662243,1276994989.9927142,1755544562.6480396,3032539552.6407537,3969863708.484022
2050,192912.81713965908,0.0,51,0,0.0,374980889.46112245,10510430.007773543,1471460201.088296,2027648965.1882186,3499109166.2765145,3499109166.2765145
