year,week,hour,generator,value
2025,3,0,ES1 0 CCGT,0.0
2025,3,1,ES1 0 CCGT,0.0
2025,3,2,ES1 0 CCGT,0.0
2025,3,3,ES1 0 CCGT,0.0
2025,3,4,ES1 0 CCGT,0.0
2025,3,5,ES1 0 CCGT,0.0
2025,3,6,ES1 0 CCGT,4735.358382643652
2025,3,7,ES1 0 CCGT,10218.3446415571
2025,3,8,ES1 0 CCGT,10234.010586926664
2025,3,9,ES1 0 CCGT,579.6470544565116
2025,3,10,ES1 0 CCGT,0.0
2025,3,11,ES1 0 CCGT,0.0
2025,3,12,ES1 0 CCGT,0.0
2025,3,13,ES1 0 CCGT,0.0
2025,3,14,ES1 0 CCGT,0.0
2025,3,15,ES1 0 CCGT,0.0
2025,3,16,ES1 0 CCGT,2327.4551294957
2025,3,17,ES1 0 CCGT,10379.766195641498
2025,3,18,ES1 0 CCGT,11816.367695999312
2025,3,19,ES1 0 CCGT,11823.87974582275
2025,3,20,ES1 0 CCGT,10971.859666051429
2025,3,21,ES1 0 CCGT,8758.524167471793
2025,3,22,ES1 0 CCGT,5936.218688750392
2025,3,23,ES1 0 CCGT,2630.355338477567
2025,3,24,ES1 0 CCGT,0.0
2025,3,25,ES1 0 CCGT,0.0
2025,3,26,ES1 0 CCGT,0.0
2025,3,27,ES1 0 CCGT,0.0
2025,3,28,ES1 0 CCGT,0.0
2025,3,29,ES1 0 CCGT,0.0
2025,3,30,ES1 0 CCGT,1470.6997758419639
2025,3,31,ES1 0 CCGT,5138.350205040311
2025,3,32,ES1 0 CCGT,3574.2681299682063
2025,3,33,ES1 0 CCGT,0.0
2025,3,34,ES1 0 CCGT,0.0
2025,3,35,ES1 0 CCGT,0.0
2025,3,36,ES1 0 CCGT,0.0
2025,3,37,ES1 0 CCGT,0.0
2025,3,38,ES1 0 CCGT,0.0
2025,3,39,ES1 0 CCGT,0.0
2025,3,40,ES1 0 CCGT,0.0
2025,3,41,ES1 0 CCGT,7255.081649186453
2025,3,42,ES1 0 CCGT,9630.566367348078
2025,3,43,ES1 0 CCGT,10101.603520505843
2025,3,44,ES1 0 CCGT,9348.345608779284
2025,3,45,ES1 0 CCGT,6381.631199548701
2025,3,46,ES1 0 CCGT,2384.2198577682957
2025,3,47,ES1 0 CCGT,0.0
2025,3,48,ES1 0 CCGT,0.0
2025,3,49,ES1 0 CCGT,0.0
2025,3,50,ES1 0 CCGT,0.0
2025,3,51,ES1 0 CCGT,0.0
2025,3,52,ES1 0 CCGT,0.0
2025,3,53,ES1 0 CCGT,0.0
2025,3,54,ES1 0 CCGT,0.0
2025,3,55,ES1 0 CCGT,0.0
2025,3,56,ES1 0 CCGT,0.0
2025,3,57,ES1 0 CCGT,0.0
2025,3,58,ES1 0 CCGT,0.0
2025,3,59,ES1 0 CCGT,0.0
2025,3,60,ES1 0 CCGT,0.0
2025,3,61,ES1 0 CCGT,0.0
2025,3,62,ES1 0 CCGT,0.0
2025,3,63,ES1 0 CCGT,0.0
2025,3,64,ES1 0 CCGT,0.0
2025,3,65,ES1 0 CCGT,0.0
2025,3,66,ES1 0 CCGT,0.0
2025,3,67,ES1 0 CCGT,0.0
2025,3,68,ES1 0 CCGT,0.0
2025,3,69,ES1 0 CCGT,0.0
2025,3,70,ES1 0 CCGT,0.0
2025,3,71,ES1 0 CCGT,0.0
2025,3,72,ES1 0 CCGT,0.0
2025,3,73,ES1 0 CCGT,0.0
2025,3,74,ES1 0 CCGT,0.0
2025,3,75,ES1 0 CCGT,0.0
2025,3,76,ES1 0 CCGT,0.0
2025,3,77,ES1 0 CCGT,0.0
2025,3,78,ES1 0 CCGT,0.0
2025,3,79,ES1 0 CCGT,4018.0471827924666
2025,3,80,ES1 0 CCGT,5560.263570359912
2025,3,81,ES1 0 CCGT,322.02763068018567
2025,3,82,ES1 0 CCGT,0.0
2025,3,83,ES1 0 CCGT,0.0
2025,3,84,ES1 0 CCGT,0.0
2025,3,85,ES1 0 CCGT,0.0
2025,3,86,ES1 0 CCGT,0.0
2025,3,87,ES1 0 CCGT,0.0
2025,3,88,ES1 0 CCGT,2216.2345871430934
2025,3,89,ES1 0 CCGT,7370.406185999125
2025,3,90,ES1 0 CCGT,8162.235700055573
2025,3,91,ES1 0 CCGT,7320.514945498322
2025,3,92,ES1 0 CCGT,5111.743865218477
2025,3,93,ES1 0 CCGT,2236.3082278048532
2025,3,94,ES1 0 CCGT,0.0
2025,3,95,ES1 0 CCGT,0.0
2025,3,96,ES1 0 CCGT,0.0
2025,3,97,ES1 0 CCGT,0.0
2025,3,98,ES1 0 CCGT,0.0
2025,3,99,ES1 0 CCGT,0.0
2025,3,100,ES1 0 CCGT,0.0
2025,3,101,ES1 0 CCGT,0.0
2025,3,102,ES1 0 CCGT,0.0
2025,3,103,ES1 0 CCGT,0.0
2025,3,104,ES1 0 CCGT,0.0
2025,3,105,ES1 0 CCGT,0.0
2025,3,106,ES1 0 CCGT,0.0
2025,3,107,ES1 0 CCGT,0.0
2025,3,108,ES1 0 CCGT,0.0
2025,3,109,ES1 0 CCGT,0.0
2025,3,110,ES1 0 CCGT,0.0
2025,3,111,ES1 0 CCGT,0.0
2025,3,112,ES1 0 CCGT,0.0
2025,3,113,ES1 0 CCGT,0.0
2025,3,114,ES1 0 CCGT,0.0
2025,3,115,ES1 0 CCGT,0.0
2025,3,116,ES1 0 CCGT,0.0
2025,3,117,ES1 0 CCGT,0.0
2025,3,118,ES1 0 CCGT,0.0
2025,3,119,ES1 0 CCGT,0.0
2025,3,120,ES1 0 CCGT,0.0
2025,3,121,ES1 0 CCGT,0.0
2025,3,122,ES1 0 CCGT,0.0
2025,3,123,ES1 0 CCGT,0.0
2025,3,124,ES1 0 CCGT,0.0
2025,3,125,ES1 0 CCGT,0.0
2025,3,126,ES1 0 CCGT,0.0
2025,3,127,ES1 0 CCGT,0.0
2025,3,128,ES1 0 CCGT,0.0
2025,3,129,ES1 0 CCGT,0.0
2025,3,130,ES1 0 CCGT,0.0
2025,3,131,ES1 0 CCGT,0.0
2025,3,132,ES1 0 CCGT,0.0
2025,3,133,ES1 0 CCGT,0.0
2025,3,134,ES1 0 CCGT,0.0
2025,3,135,ES1 0 CCGT,0.0
2025,3,136,ES1 0 CCGT,0.0
2025,3,137,ES1 0 CCGT,0.0
2025,3,138,ES1 0 CCGT,0.0
2025,3,139,ES1 0 CCGT,0.0
2025,3,140,ES1 0 CCGT,0.0
2025,3,141,ES1 0 CCGT,0.0
2025,3,142,ES1 0 CCGT,0.0
2025,3,143,ES1 0 CCGT,0.0
2025,3,144,ES1 0 CCGT,0.0
2025,3,145,ES1 0 CCGT,0.0
2025,3,146,ES1 0 CCGT,0.0
2025,3,147,ES1 0 CCGT,0.0
2025,3,148,ES1 0 CCGT,0.0
2025,3,149,ES1 0 CCGT,0.0
2025,3,150,ES1 0 CCGT,0.0
2025,3,151,ES1 0 CCGT,0.0
2025,3,152,ES1 0 CCGT,0.0
2025,3,153,ES1 0 CCGT,0.0
2025,3,154,ES1 0 CCGT,0.0
2025,3,155,ES1 0 CCGT,0.0
2025,3,156,ES1 0 CCGT,0.0
2025,3,157,ES1 0 CCGT,0.0
2025,3,158,ES1 0 CCGT,0.0
2025,3,159,ES1 0 CCGT,0.0
2025,3,160,ES1 0 CCGT,0.0
2025,3,161,ES1 0 CCGT,0.0
2025,3,162,ES1 0 CCGT,0.0
2025,3,163,ES1 0 CCGT,0.0
2025,3,164,ES1 0 CCGT,0.0
2025,3,165,ES1 0 CCGT,0.0
2025,3,166,ES1 0 CCGT,0.0
2025,3,167,ES1 0 CCGT,0.0
2025,16,0,ES1 0 CCGT,203.18660746692785
2025,16,1,ES1 0 CCGT,1181.2673333668633
