year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_co2_emission_cost,total_production_cost,total_production_cost_with_emission,total_cost
2025,192912.81713965908,83220.2794618131,51,25,8149571116.066727,274801795.7239152,9296513.83807556,1301511937.3305783,1810634891.5192134,3112146828.8497915,11261717944.91652
2030,192912.81713965908,45378.19986606816,51,17,3537083465.776718,294901447.57770574,6249186.798745732,874886151.8244025,1218539690.0856743,2093425841.9100769,5630509307.686795
2040,192912.81713965908,10109.706409491593,51,3,823597507.3870275,351722603.3298347,9420600.09497201,1318884013.2960815,1829981872.6783986,3148865885.97448,3972463393.3615074
2050,192912.81713965908,0.0,51,0,0.0,374888552.21056783,11484181.399172157,1607785395.8841019,2222696870.3561726,3830482266.2402744,3830482266.2402744
