year,AIC,expected_OC,total_cost
2025,8321113043.28397,3112146828.8497915,11433259872.133762
2030,3543972655.8093777,2093425841.9100766,5637398497.719454
2040,823597507.3870275,3148865885.97448,3972463393.3615074
2050,0.0,3893613599.8808866,3893613599.8808866
