year,scenario,Invest Gen,Invest Bat,Invest Tx,Production Cost,CO2 Emission Cost,Load Shedding Cost,Curtailment Cost,Prod+CO2 Cost,Total CapEx,Total OpEx,Total Cost
2025,NT,8149571116.066727,,171541927.2172432,1810634891.5192134,1301511937.3305783,0.0,0.0,3112146828.8497915,8321113043.28397,3112146828.8497915,11433259872.133762
2030,NT,3537083465.776718,,6889190.032659488,1218539690.0856743,874886151.8244025,0.0,0.0,2093425841.9100766,3543972655.8093777,2093425841.9100766,5637398497.719454
2040,DE,823597507.3870275,,0.0,2085441840.694663,1507322664.7851827,0.0,0.0,3592764505.479846,823597507.3870275,3592764505.479846,4416362012.866874
2040,GA,823597507.3870275,,0.0,1462831794.0052283,1049274941.655223,0.0,0.0,2512106735.6604514,823597507.3870275,2512106735.6604514,3335704243.0474787
2040,NT,823597507.3870275,,0.0,1941671983.3353047,1400054433.4478393,0.0,0.0,3341726416.783144,823597507.3870275,3341726416.783144,4165323924.1701717
2050,DE,0.0,,0.0,2616324707.796645,1899469204.0141926,126262667.28122483,0.0,4515793911.810838,0.0,4642056579.092063,4642056579.092063
2050,GA,0.0,,0.0,1829069032.9156992,1316101587.7540107,0.0,0.0,3145170620.66971,0.0,3145170620.66971,3145170620.66971
All,All,12510252089.230473,0.0,178431117.2499027,7081853324.639458,5103067498.335164,63131333.640612416,0.0,12184920822.97462,12688683206.480375,12248052156.615232,24936735363.095608
