year,CCGT,coal,offwind-ac,onwind,ror,solar,Total
2025,7822725136.08297,1442562.2995587154,603013.710930706,1096288.8198854947,0.0,291316.92362209404,7826158317.8369665
2030,6406289401.533489,266420.4973353209,733846.1524964763,1360285.4516416304,0.0,388422.5648294587,6409038376.199793
2040,7463759567.145897,33863567.37573773,853843.4713322876,1645930.5793838126,0.0,485528.2060368234,7500608436.778388
2050,7915889108.729355,136956836.21714324,857968.7211812282,1728917.8081785645,0.0,582633.8472441881,8056015465.323102
