year,num_buildout,capacity,cumulative_capacity,investment_cost,cycles_per_year
2025,3,55265.76908737548,55265.76908737548,1213576875.1521754,175.24359274224918
2030,0,0.0,55265.76908737548,0.0,196.38124641112714
2040,0,0.0,55265.76908737548,0.0,230.59279709862028
2050,0,0.0,55265.76908737548,0.0,237.7334637621789
