year,DE,GA,NT,Average
2025,,,27.764941138418575,27.764941138418575
2030,,,20.041793624019423,20.041793624019423
2040,26.271646850405485,20.80423012750997,24.75071636074364,23.94219777955303
2050,50.726284861290274,24.089207122948444,,37.40774599211936
