generator,bus,carrier,p_nom,marginal_cost,capital_cost,co2_emissions,color,nice_name
SI1 0 offwind-ac,SI1 0,offwind-ac,147.35455141388252,0.015,187167.00028988093,0.0,#6895dd,Offshore Wind (AC)
SI1 0 onwind,SI1 0,onwind,5.35,0.015,96085.8880199663,0.0,#235ebc,Onshore Wind
SI1 0 ror,SI1 0,ror,912.2750000000001,0.0,299140.2249292296,0.0,#4adbc8,Run of River
SI1 0 solar,SI1 0,solar,266.81,0.01,35602.07124380445,0.0,#f9d002,Solar
SK1 0 CCGT,SK1 0,CCGT,728.0,60.97966101694917,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
SK1 0 OCGT,SK1 0,OCGT,50.0,53.524390243902445,45095.4415151225,0.2,#d35050,Open-Cycle Gas
SK1 0 coal,SK1 0,coal,263.6739695770679,28.196969696969695,349976.5536298572,0.34,#707070,Coal
SK1 0 lignite,SK1 0,lignite,285.86336179063943,12.287878787878787,349976.5536298572,0.41,#9e5a01,Lignite
SK1 0 nuclear,SK1 0,nuclear,1940.0,11.378787878787879,706772.616768959,0.0,#ff9000,Nuclear
SK1 0 onwind,SK1 0,onwind,3.636216400797939,0.015000000000000003,96085.8880199663,0.0,#235ebc,Onshore Wind
SK1 0 ror,SK1 0,ror,1363.4599999999998,0.0,299140.2249292296,0.0,#4adbc8,Run of River
SK1 0 solar,SK1 0,solar,592.9,0.010000000000000002,35602.07124380445,0.0,#f9d002,Solar
