year,scenario,count_total,count_bucket,percent_bucket_of_total
2025,NT,14784,254,1.718073593073593
2030,NT,14784,217,1.4678030303030303
2040,DE,14784,282,1.9074675324675323
2040,GA,14784,290,1.9615800865800863
2040,NT,14784,271,1.8330627705627704
2050,DE,14784,188,1.2716450216450217
2050,GA,14784,300,2.029220779220779
