dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,103488,1884,1.820500927643785
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,103488,940,0.908317872603587
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,5,6.578947368421052
branch_flow_new_duals_max,178752,22387,12.524055674901541
branch_flow_new_duals_min,178752,66047,36.948957214464734
branch_flow_old_duals_max,178752,22326,12.489930182599355
branch_flow_old_duals_min,178752,66045,36.94783834586467
emissions_duals,7,0,0.0
gen_extension_duals,204,107,52.450980392156865
gen_output_new_duals,479808,346641,72.24577330932372
gen_output_old_duals,479808,349022,72.74201347205549
load_shedding_duals,103488,0,0.0
power_balance_duals,103488,103488,100.0
