,lower_bound,upper_bound,count,percent_of_interval
0,8.999,9.1,0,0.0
1,9.1,9.2,0,0.0
2,9.2,9.3,0,0.0
3,9.3,9.4,0,0.0
4,9.4,9.5,0,0.0
5,9.5,9.6,0,0.0
6,9.6,9.7,0,0.0
7,9.7,9.8,1,12.5
8,9.8,9.9,3,37.5
9,9.9,10.0,4,50.0
