year,num_buildout,capacity,investment_cost,cycles_per_year
2025,0,0.0,0.0,
2030,0,0.0,0.0,
2040,2,14534.05902330926,319152311.1693035,323.33693665118324
2050,2,47149.41512106514,716198156.4485582,206.31890779141648
