year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_co2_emission_cost,total_production_cost,total_production_cost_with_emission,total_cost
2025,192912.81713965908,122533.36617419127,51,35,13793418691.990412,248916853.97789735,0.0,0.0,2903360.1264370857,2903360.1264370857,13796322052.116848
2030,192912.81713965908,121143.7132187618,51,34,13537500956.889778,283533527.61477774,0.0,0.0,2869108.5031355247,2869108.5031355247,13540370065.392914
2040,192912.81713965908,119071.42296442547,51,31,13286485597.53013,337978829.90287066,0.0,0.0,3132509.1798427077,3132509.1798427077,13289618106.709972
2050,192912.81713965908,40202.30777890213,51,15,2385437716.8571653,361096145.04505223,0.0,0.0,3298476.4672174463,3298476.4672174463,2388736193.324383
