year,scenario,production,co2_emission,co2_emission_cost,production_cost,production_cost_with_emission
2025,NT,251941107.5383434,1923217.6784967808,153857414.27974245,376799252.45014346,530656666.7298859
2030,NT,281468598.97044164,1367912.0064694677,109432960.51755741,273796208.6094771,383229169.12703454
2040,DE,355280158.39833,2372294.859129022,189783588.73032176,493438892.6635128,683222481.3938346
2040,GA,314739876.49854934,1665855.5342456105,133268442.73964883,343153986.7817842,476422429.521433
2040,NT,346616781.9193492,2209301.025595096,176744082.0476077,459308787.63745826,636052869.6850659
2050,DE,385353063.5737408,2973878.0082636136,237910240.6610891,556080731.4433116,793990972.1044006
2050,GA,340423660.6977045,2083512.8358865292,166681026.87092233,419264081.30951095,585945108.1804333
