year,AIC,expected_OC,total_cost
2025,15718606818.321352,127417826423.16653,143136433241.48788
2030,14928201737.158798,38471311814.07029,53399513551.22909
2040,14632995980.427979,8784015266.460018,23417011246.887997
2050,2429400601.5896583,689968040.142417,3119368641.732075
