generator,week,value
ES1 0 offwind-ac,48,9274.463485690856
ES1 0 offwind-ac,49,9274.463485690854
ES1 0 offwind-ac,50,9274.463485690856
ES1 0 offwind-ac,51,0.0
ES1 0 offwind-ac,52,9274.463485690854
ES1 0 offwind-ac,53,9274.463485690854
ES1 0 onwind,1,26825.862669404865
ES1 0 onwind,2,2738.614267925228
ES1 0 onwind,3,26825.862669404865
ES1 0 onwind,4,9492.569169481083
ES1 0 onwind,5,0.0
ES1 0 onwind,6,7655.954112144167
ES1 0 onwind,7,16125.583056532292
ES1 0 onwind,8,0.0
ES1 0 onwind,9,26825.862669404865
ES1 0 onwind,10,193.23184185210053
ES1 0 onwind,11,19146.55987435914
ES1 0 onwind,12,20163.459655613467
ES1 0 onwind,13,0.0
ES1 0 onwind,14,12142.473083150953
ES1 0 onwind,15,26825.862669404865
ES1 0 onwind,16,2979.1668955268715
ES1 0 onwind,17,26825.86266940486
ES1 0 onwind,18,26825.86266940487
ES1 0 onwind,19,26825.86266940486
ES1 0 onwind,20,23713.78637916466
ES1 0 onwind,21,20992.89892786559
ES1 0 onwind,22,26214.330447481643
ES1 0 onwind,23,26825.862669404865
ES1 0 onwind,24,26825.86266940487
ES1 0 onwind,25,26825.86266940487
ES1 0 onwind,26,26825.862669404865
ES1 0 onwind,27,26825.86266940487
ES1 0 onwind,28,26825.86266940487
ES1 0 onwind,29,26825.86266940486
ES1 0 onwind,30,7535.797534846227
ES1 0 onwind,31,26825.86266940486
ES1 0 onwind,32,26825.86266940486
ES1 0 onwind,33,26825.862669404865
ES1 0 onwind,34,26825.86266940487
ES1 0 onwind,35,26825.862669404865
ES1 0 onwind,36,26825.86266940486
ES1 0 onwind,37,26825.862669404865
ES1 0 onwind,38,26825.86266940486
ES1 0 onwind,39,0.0
ES1 0 onwind,40,26825.86266940486
ES1 0 onwind,41,26825.86266940487
ES1 0 onwind,42,8273.274338814192
ES1 0 onwind,43,26825.862669404865
ES1 0 onwind,44,21336.054048956838
ES1 0 onwind,45,8180.229636824226
ES1 0 onwind,46,26825.862669404865
ES1 0 onwind,47,26825.862669404865
ES1 0 onwind,48,20888.097210021377
ES1 0 onwind,49,26825.862669404865
ES1 0 onwind,50,26825.862669404865
ES1 0 onwind,51,18487.56250207692
ES1 0 onwind,52,10928.670420971424
ES1 0 onwind,53,26825.86266940487
ES1 0 ror,1,147.00824749999998
ES1 0 ror,2,147.0082475
ES1 0 ror,3,0.0
ES1 0 ror,4,147.00824749999998
ES1 0 ror,5,147.0082475
ES1 0 ror,6,147.00824749999998
ES1 0 ror,7,147.00824749999998
ES1 0 ror,8,147.00824749999998
ES1 0 ror,9,147.00824749999998
