scenario,year,dual_value
NT,2025,-32514.833030767062
NT,2030,-32380.39748433142
NT,2040,-10888.699195881074
GA,2040,-10888.699195881074
DE,2040,-10888.699195881074
GA,2050,-16333.04879382161
DE,2050,-16333.04879382161
