dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,51744,1375,2.657312925170068
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,51744,408,0.7884972170686457
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,2,2.631578947368421
branch_flow_new_duals_max,89376,12676,14.182778374507699
branch_flow_new_duals_min,89376,32235,36.06672932330827
branch_flow_old_duals_max,89376,12656,14.160401002506266
branch_flow_old_duals_min,89376,32214,36.04323308270676
emissions_duals,7,0,0.0
gen_extension_duals,204,96,47.05882352941176
gen_output_new_duals,239904,173825,72.45606575963718
gen_output_old_duals,239904,173821,72.45439842603709
load_shedding_duals,51744,0,0.0
power_balance_duals,51744,51744,100.0
