,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,62.171,86.037,642,92.1090387374462,1.2407235621521335
98,2400.932,2424.797,20,2.8694404591104736,0.03865182436611008
97,2377.067,2400.932,13,1.8651362984218076,0.02512368583797155
99,2424.797,2448.662,10,1.4347202295552368,0.01932591218305504
96,2353.202,2377.067,6,0.860832137733142,0.011595547309833025
95,2329.337,2353.202,5,0.7173601147776184,0.00966295609152752
94,2305.473,2329.337,1,0.1434720229555237,0.001932591218305504
4,157.632,181.497,0,0.0,0.0
63,1565.661,1589.526,0,0.0,0.0
72,1780.445,1804.31,0,0.0,0.0
