year,num_buildout,capacity,investment_cost,cycles_per_year
2025,3,31547.318744638054,692745204.3781126,156.04913180604382
2030,2,38638.84858739431,155722371.52828208,65.3193239631931
2040,1,48972.67804990929,226919785.5122074,77.89470079925279
2050,4,76004.85733338635,593597595.8559372,95.60370407619725
