year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,8496.16843348944,19,2,146429366.41774586
2030,95000,1050.2621598488686,19,1,13781018.6915491
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
